JD RV error
2454433.544769 -1.50827  0.00450  
2454434.572228 -1.59145  0.00420  
2454435.576714 -1.69089  0.00454  
2454439.527071 -1.37548  0.00698  
2454440.537123 -1.39927  0.00411  
2454441.566653 -1.48223  0.00435  
2454442.567759 -1.57706  0.00407  
2454443.537919 -1.66701  0.00413  
2454444.545379 -1.76067  0.00431  
2454445.541798 -1.81520  0.00392  
2454446.536748 -1.72864  0.00376  
2454446.630617 -1.69458  0.00443  
2454447.535435 -1.43479  0.00415  
2454447.635913 -1.41365  0.00449  
2454449.572230 -1.46026  0.00499  
2454450.537125 -1.56552  0.00444  
2454453.538249 -1.81461  0.00361  
2454454.538258 -1.75393  0.00395  
2454454.606597 -1.74445  0.00364  
2454455.537689 -1.44786  0.00409  
2454455.614685 -1.43897  0.00378  
2454720.638690 -1.61408  0.00412  
2454722.698683 -1.76885  0.00377  
2454724.627329 -1.47141  0.00396  
2454730.692373 -1.77391  0.00374  
2454760.617310 -1.53155  0.00368  
2454761.663775 -1.62408  0.00386  
2454762.689811 -1.70212  0.00386  
2454763.530963 -1.75120  0.00412  
2454763.749977 -1.75623  0.00436  
2454764.537728 -1.69703  0.00531  
2454764.711779 -1.66047  0.00611  
2454765.560614 -1.40988  0.00452  
2454765.733438 -1.36627  0.00523  
2454766.666456 -1.33404  0.00400  
2454814.560796 -1.38839  0.00537  
2454818.534407 -1.60104  0.00383  
2454823.564765 -1.32530  0.00405  
2454824.562762 -1.36892  0.00387  
2454825.545205 -1.46834  0.00448  
2454826.540911 -1.55850  0.00444  
2454827.552497 -1.66391  0.00425  
2454828.545172 -1.75702  0.00533  
2454829.568077 -1.73034  0.00455  
2454830.566228 -1.48944  0.00422  
2454982.882492 -1.66167  0.00464  
2455005.870376 -1.52268  0.00452  
2455006.845893 -1.62031  0.00457  
2454743.612231 -1.43482  0.00136  
2454743.774423 -1.45461  0.00117  
2454744.482242 -1.51994  0.00232  
2454744.488457 -1.52495  0.00215  
2454744.492311 -1.52060  0.00213  
2454744.496188 -1.52373  0.00206  
2454744.500054 -1.52446  0.00218  
2454744.503862 -1.52367  0.00238  
2454744.507623 -1.53071  0.00230  
2454744.511570 -1.52752  0.00226  
2454744.515331 -1.52594  0.00202  
2454744.519173 -1.52763  0.00214  
2454744.523120 -1.52629  0.00198  
2454744.526812 -1.52460  0.00226  
2454744.530770 -1.53278  0.00234  
2454744.534613 -1.52837  0.00221  
2454744.538328 -1.53478  0.00229  
2454744.542205 -1.53184  0.00259  
2454744.546082 -1.52850  0.00245  
2454744.549913 -1.53204  0.00248  
2454744.553721 -1.53167  0.00244  
2454744.557552 -1.52929  0.00246  
2454744.561498 -1.51809  0.00244  
2454744.565271 -1.53140  0.00241  
2454744.569102 -1.52534  0.00237  
2454744.572910 -1.52469  0.00244  
2454744.576741 -1.53087  0.00261  
2454744.580583 -1.52966  0.00263  
2454744.584414 -1.53090  0.00269  
2454744.588291 -1.52407  0.00270  
2454744.592469 -1.52049  0.00201  
2454744.595976 -1.52215  0.00164  
2454744.599853 -1.52087  0.00159  
2454744.603545 -1.52328  0.00165  
2454744.607584 -1.52534  0.00173  
2454744.611427 -1.52055  0.00166  
2454744.615188 -1.52046  0.00163  
2454744.619031 -1.52121  0.00166  
2454744.622873 -1.52017  0.00161  
2454744.626715 -1.51914  0.00164  
2454744.630477 -1.51958  0.00166  
2454744.634400 -1.52239  0.00166  
2454744.638231 -1.52247  0.00153  
2454744.642004 -1.52246  0.00153  
2454744.645893 -1.52371  0.00173  
2454744.649839 -1.52149  0.00160  
2454744.653566 -1.52094  0.00151  
2454744.657409 -1.52386  0.00158  
2454744.661286 -1.52177  0.00146  
2454744.665117 -1.52466  0.00154  
2454744.668913 -1.52449  0.00145  
2454744.672755 -1.52772  0.00145  
2454744.676667 -1.52910  0.00152  
2454744.680544 -1.53822  0.00170  
2454744.684306 -1.53703  0.00170  
2454744.688125 -1.53930  0.00174  
2454744.691933 -1.53934  0.00172  
2454744.695914 -1.54244  0.00170  
2454744.699606 -1.53920  0.00159  
2454744.703495 -1.54028  0.00164  
2454744.707221 -1.54440  0.00176  
2454744.711203 -1.54296  0.00196  
2454744.714976 -1.54136  0.00201  
2454744.718969 -1.54297  0.00210  
2454744.722776 -1.54311  0.00171  
2454744.726607 -1.54603  0.00166  
2454744.730403 -1.54368  0.00161  
2454744.734246 -1.54610  0.00164  
2454744.738042 -1.54476  0.00159  
2454744.741826 -1.54689  0.00170  
2454744.745738 -1.54431  0.00173  
2454744.749616 -1.54529  0.00184  
2454744.753423 -1.55129  0.00174  
2454744.757185 -1.54764  0.00170  
2454744.761097 -1.54785  0.00182  
2454744.764939 -1.55014  0.00168  
2454744.830492 -1.55429  0.00190  
2454745.616084 -1.62728  0.00097  
2454745.763428 -1.63897  0.00104  
2454746.660855 -1.71161  0.00092  
2454792.579669 -1.42668  0.00102  
2454806.566155 -1.34102  0.00107  
