rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optmagblend,st_optband,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffblend,st_mass,st_masserr1,st_masserr2,st_masslim,st_massblend,st_rad,st_raderr1,st_raderr2,st_radlim,st_radblend,rowupdate,pl_disc
649,HD 99109,b,Radial Velocity,1,439.3,5.6,-5.6,0,1.105,0.065,-0.065,0,0.09,0.16,-0.16,0,,,,,0.502,0.07,-0.07,0,Msini,,,,,,,,,0,0,1,0,11h24m17.36s,171.072327,-01d31m44.7s,-1.529076,60.46,4.44,-5.2,0,9.1,,0,0,V (Johnson),5272,,,0,0,0.93,,,0,0,,,,,0,2014-07-23,2005
636,HD 93083,b,Radial Velocity,1,143.58,0.6,-0.6,0,0.477,,,0,0.14,0.03,-0.03,0,,,,,0.37,,,0,Msini,,,,,,,,,0,0,0,0,10h44m20.91s,161.087143,-33d34m37.3s,-33.577023,28.9,0.81,-0.86,0,8.3,0,0,0,V (Johnson),4995,50,-50,0,0,0.7,0.04,-0.04,0,0,,,,,0,2014-05-14,2005
635,HD 92788,b,Radial Velocity,1,325,0.5,-0.5,0,0.96,,,0,0.35,0.01,-0.01,0,,,,,3.58,,,0,Msini,,,,,,,,,0,0,0,0,10h42m48.53s,160.702209,-02d11m01.5s,-2.183756,32.32,1,-1.07,0,7.3,0.011,0,0,V (Johnson),5821,,,0,0,1.1,,,0,0,,,,,0,2015-04-24,2000
631,HD 88133,b,Radial Velocity,1,3.41587,0.00059,-0.00059,0,0.0472,0.0027,-0.0027,0,0.133,0.072,-0.072,0,,,,,0.299,0.033,-0.033,0,Msini,,,,,,,,,0,0,0,0,10h10m07.68s,152.531982,+18d11m12.7s,18.186871,74.46,5.92,-7.04,0,8.01,,0,0,V (Johnson),5494,23,-23,0,0,1.2,0.2,-0.2,0,0,1.93,0.06,-0.06,0,0,2015-04-16,2004
625,HD 86081,b,Radial Velocity,1,2.1375,0.0002,-0.0002,0,0.035,,,0,0.008,0.004,-0.004,0,,,,,1.5,,,0,Msini,,,,,,,,,0,0,0,0,09h56m05.92s,149.024658,-03d48m30.3s,-3.808422,91.16,9.06,-11.3,0,8.73,,0,0,V (Johnson),,,,,0,1.21,0.09,-0.09,0,0,1.22,0.1,-0.1,0,0,2015-04-16,2006
624,HD 8574,b,Radial Velocity,1,227,0.2,-0.2,0,0.757,0.005,-0.005,0,0.297,0.026,-0.026,0,,,,,1.8,0.06,-0.06,0,Msini,,,,,,,,,0,0,0,0,01h25m12.52s,21.302153,+28d34m00.1s,28.566692,44.2,1.6,-1.6,0,7.112,0.011,0,0,V (Johnson),6050,44,-44,0,0,1.12,0.02,-0.02,0,0,,,,,0,2014-05-14,2002
620,HD 83443,b,Radial Velocity,1,2.985698,0.000057,-0.000057,0,0.0406,0.0023,-0.0023,0,0.012,0.023,-0.023,0,,,,,0.398,0.035,-0.035,0,Msini,,,,,,,,,0,0,0,0,09h37m11.83s,144.299286,-43d16m19.9s,-43.272205,43.53,1.64,-1.77,0,8.222,0.011,0,0,V (Johnson),5454,,,0,0,0.9,,,0,0,,,,,0,2014-05-14,2002
618,HD 82943,b,Radial Velocity,2,441.47,0.35,-0.35,0,1.18306,0.00062,-0.00062,0,0.162,0.036,-0.036,0,90,,,0,1.681,0.028,-0.028,0,Mass,,,,,,,,,0,0,0,0,09h34m50.73s,143.711395,-12d07m46.4s,-12.129546,27.46,0.62,-0.65,0,6.53,0.02,0,0,V (Johnson),6016,,,0,0,1.2,,,0,0,,,,,0,2014-05-14,2003
619,HD 82943,c,Radial Velocity,2,220.078,0.051,-0.051,0,0.74345,0.00012,-0.00012,0,0.3663,0.0097,-0.0097,0,90,,,0,1.959,0.047,-0.047,0,Mass,,,,,,,,,0,0,0,0,09h34m50.73s,143.711395,-12d07m46.4s,-12.129546,27.46,0.62,-0.65,0,6.53,0.02,0,0,V (Johnson),6016,,,0,0,1.2,,,0,0,,,,,0,2014-05-14,2003
616,HD 81688,b,Radial Velocity,1,184.02,0.18,-0.18,0,0.81,,,0,0,,,0,,,,,2.7,,,0,Msini,,,,,,,,,0,0,0,0,09h28m39.99s,142.166626,+45d36m05.3s,45.601482,88.26,6.09,-7.07,0,5.393,0.009,0,0,V (Johnson),4753,15,-15,0,0,2.1,,,0,0,13,,,0,0,2014-05-14,2007
