BJD - 2454833, Corrected Flux
2061.305421750, 1.054032569,
2061.325853917, 1.054610825,
2061.346285982, 1.056792457,
2061.366717948, 1.057533146,
2061.387150113, 1.055912147,
2061.407582177, 1.057432583,
2061.428014342, 1.057076153,
2061.489310531, 1.025750606,
2061.509742494, 1.026166721,
2061.530174556, 1.026702593,
2061.550606718, 1.029462983,
2061.571038779, 1.029374615,
2061.591470740, 1.028800387,
2061.611902900, 1.031680431,
2061.632334960, 1.029620225,
2061.652766920, 1.031363653,
2061.673199079, 1.029440072,
2061.693631138, 1.031501232,
2061.714063197, 1.030168011,
2061.734495255, 1.029972397,
2061.754927312, 1.027012946,
2061.775359370, 1.026887302,
2061.795791426, 1.026444982,
2061.816223483, 1.026207141,
2061.836655539, 1.027378118,
2061.857087594, 1.026672966,
2061.877519549, 1.026412672,
2061.897951704, 1.027348470,
2061.918383758, 1.026578369,
2061.938815812, 1.022806658,
2061.959247866, 1.022611735,
2061.979679919, 1.019863113,
2062.000112072, 1.016789352,
2062.020544024, 1.017574377,
2062.040976076, 1.014531220,
2062.061408227, 1.012009353,
2062.081840179, 1.007833070,
2062.102272229, 1.005728217,
2062.122704380, 1.005651859,
2062.143136429, 1.005587859,
2062.163568379, 1.006413195,
2062.224864525, 0.965993609,
2062.245296673, 0.965672187,
2062.265728720, 0.973124091,
2062.286160667, 0.963765930,
2062.306592814, 0.960707990,
2062.327024861, 0.958887486,
2062.347457006, 0.956974352,
2062.367888952, 0.964329844,
2062.388320997, 0.955424600,
2062.408753142, 0.951590968,
2062.429185086, 0.949238033,
2062.449617130, 0.945372358,
2062.470049173, 0.944185873,
2062.490481216, 0.946364016,
2062.510913259, 0.941753759,
2062.531345301, 0.940431802,
2062.551777343, 0.933317700,
2062.572209384, 0.937601362,
2062.592641425, 0.929346415,
2062.613073466, 0.914418490,
2062.633505506, 0.906375643,
2062.653937646, 0.895499616,
2062.674369585, 0.891335247,
2062.694801725, 0.889250840,
2062.715233763, 0.887368605,
2062.735665701, 0.886372086,
2062.756097839, 0.886004041,
2062.776529877, 0.886437700,
2062.796961814, 0.886658101,
2062.817393951, 0.885483996,
2062.837825987, 0.886685245,
2062.858257922, 0.886270019,
2062.878690058, 0.890587708,
2062.899122093, 0.894487046,
2062.919554028, 0.896356887,
2062.939986162, 0.898330168,
2062.960418196, 0.901188484,
2062.980850229, 0.905395389,
2063.001282262, 0.912252316,
2063.021714295, 0.914680672,
2063.042146327, 0.918259770,
2063.062578359, 0.924080706,
2063.083010391, 0.927726821,
2063.103442522, 0.932209882,
2063.123874553, 0.939439503,
2063.144306483, 0.945215089,
2063.164738613, 0.949899750,
2063.185170642, 0.955276624,
2063.205602571, 0.960808954,
2063.226034700, 0.964829175,
2063.246466628, 0.969907455,
2063.266898656, 0.971577763,
2063.287330783, 0.974639417,
2063.307762711, 0.978576273,
2063.328194737, 0.980710523,
2063.348626863, 0.982652472,
2063.369058790, 0.986511056,
2063.389490815, 0.994347865,
2063.409922940, 0.997115861,
2063.430354865, 0.998264104,
2063.450786890, 0.999195512,
2063.471219013, 1.001670144,
2063.491651037, 0.999174755,
2063.512083060, 0.997471291,
2063.532515083, 0.994514014,
2063.552947105, 0.993533440,
2063.593811149, 0.996344450,
2063.695971351, 0.980878844,
2063.716403270, 0.986365330,
2063.736835289, 0.988533099,
2063.757267407, 0.989283504,
2063.777699326, 0.994087455,
2063.798131343, 1.003690725,
2063.818563461, 1.008946807,
2063.838995377, 1.017695380,
2063.859427394, 1.026598091,
2063.879859510, 1.037572101,
2063.900291426, 1.039166414,
2063.920723541, 1.037954702,
2063.941155556, 1.037522539,
2063.961587471, 1.035149625,
2063.982019585, 1.032646245,
2064.002451599, 1.032694268,
2064.022883512, 1.030747444,
2064.043315625, 1.029478971,
2064.063747638, 1.026700431,
2064.084179550, 1.023252922,
2064.104611662, 1.025175170,
2064.125043673, 1.024933368,
2064.554115824, 1.010663561,
2064.574547927, 1.008533901,
2064.594979929, 1.006413139,
2064.635843933, 0.998566012,
2064.656275934, 0.997364320,
2064.738003836, 0.997771591,
2064.758435936, 0.995528635,
2064.778867835, 0.989427403,
2064.799299934, 0.986110929,
2064.840163930, 0.978451138,
2064.921891918, 0.990006402,
2064.942323914, 0.986290113,
2064.962755910, 0.980765454,
2064.983188005, 0.976621364,
2065.003619900, 0.972917789,
2065.024051894, 0.968606017,
2065.044483988, 0.964763054,
2065.064915882, 0.962005940,
2065.085347875, 0.962056131,
2065.105779968, 0.960223330,
2065.126211861, 0.957662580,
2065.146643853, 0.955091674,
2065.167075945, 0.950928092,
2065.187507836, 0.944384764,
2065.207939927, 0.941938737,
2065.228371918, 0.940352604,
2065.248803809, 0.938833227,
2065.269235899, 0.937746402,
2065.289667888, 0.933488971,
2065.310099877, 0.929903476,
2065.330531866, 0.925056866,
2065.350963855, 0.924463512,
2065.371395843, 0.921942642,
2065.391827830, 0.920377979,
2065.412259817, 0.930832807,
2065.432691804, 0.917999115,
2065.453123791, 0.917327248,
2065.473555777, 0.916818745,
2065.493987663, 0.920827719,
2065.514419748, 0.931729618,
2065.534851734, 0.928670879,
2065.555283618, 0.928779042,
2065.575715702, 0.929967662,
2065.596147686, 0.926174377,
2065.657443636, 0.962205574,
2065.677875718, 0.966873050,
2065.698307600, 0.968496661,
2065.718739582, 0.971129328,
2065.739171663, 0.973951173,
2065.759603544, 0.975556171,
2065.780035524, 0.977069658,
2065.800467604, 0.976575625,
2065.820899584, 0.976545644,
2065.841331464, 0.978420577,
2065.861763543, 0.976053914,
2065.882195521, 0.978929423,
2065.902627399, 0.982147298,
2065.923059478, 0.988280674,
2065.943491455, 0.986564740,
2065.963923332, 0.987231613,
2065.984355409, 0.989812899,
2066.004787385, 0.986747831,
2066.025219261, 0.985611899,
2066.045651337, 0.987420886,
2066.066083312, 0.989432933,
2066.086515387, 0.992339285,
2066.147811210, 0.998284769,
2066.168243183, 0.999003257,
2066.188675156, 1.000288128,
2066.209107129, 1.005618681,
2066.229539101, 1.006813989,
2066.249971073, 1.007342909,
2066.270403044, 1.001870798,
2066.290835016, 0.995410304,
2066.311266986, 0.994387354,
2066.331699057, 0.994190068,
2066.392994966, 1.020653845,
2066.413426835, 1.021457607,
2066.433858803, 1.019397128,
2066.454290872, 1.018647318,
2066.474722740, 1.018877450,
2066.495154707, 1.018184580,
2066.515586774, 1.029163589,
2066.536018641, 1.023100631,
2066.556450707, 1.021900224,
2066.576882673, 1.024236678,
2066.597314539, 1.025390684,
2066.617746604, 1.025062049,
2066.638178569, 1.022365234,
2066.658610534, 1.023095958,
2066.679042498, 1.019048709,
2066.699474462, 1.015305934,
2066.719906425, 1.014881637,
2066.740338388, 1.018298329,
2066.760770351, 1.012872449,
2066.781202313, 1.006920430,
2066.801634375, 1.003776087,
2066.822066237, 1.002504193,
2066.862930159, 1.026843207,
2066.883362119, 1.022969875,
2066.903794080, 1.022156138,
2066.924226139, 1.019552389,
2066.944657999, 1.025277502,
2066.965089858, 1.028397883,
2066.985521917, 1.028707213,
2067.005953875, 1.027087633,
2067.026385933, 1.027836410,
2067.046817791, 1.027090894,
2067.067249748, 1.023984056,
2067.087681804, 1.022704759,
2067.108113661, 1.019435543,
2067.128545617, 1.021584905,
2067.148977673, 1.022779474,
2067.169409628, 1.023678804,
